"","StudyCode","Batch"
"1","R4119160","B4"
"2","R4641987","B4"
"3","R5693901","B4"
"4","R2670295","B4"
"5","R9116123","B4"
"6","R1743384","B4"
"7","R6759986","B4"
"8","R7047807","B4"
"9","R3280186","B5"
"10","R3844037","B5"
"11","R9088015","B5"
"12","R8744945","B5"
"13","R3579460","B5"
"14","R5636935","B5"
"15","R2979477","B5"
"16","R3741788","B5"
"17","R9101940","B6"
"18","R6622577","B6"
"19","R1969233","B6"
"20","R7641350","B6"
"21","R7090624","B6"
"22","R1710143","B6"
"23","R4078277","B6"
"24","R4388056","B6"
"25","R7767837","B7"
"26","R2543886","B7"
"27","R2197944","B7"
"28","R8998310","B7"
"29","R9210731","B7"
"30","R1042011","B7"
"31","R6911631","B7"
"32","R5079327","B7"
"33","R9163526","B8"
"34","R1407047","B8"
"35","R4174623","B8"
"36","R6132310","B8"
"37","R6352950","B8"
"38","R9101835","B8"
"39","R6627307","B8"
"40","R4242008","B8"
"41","R8075334","B9"
"42","R3257830","B9"
"43","R9582641","B9"
"44","R2645101","B9"
"45","R5415701","B9"
"46","R4087581","B9"
"47","R8635714","B9"
"48","R3452739","B9"
"49","R6249698","B10"
"50","R7840275","B10"
"51","R1214999","B10"
"52","R9818080","B10"
"53","R7347788","B10"
"54","R7698313","B10"
"55","R8054504","B10"
"56","R3442506","B10"
"57","R3769291","B11"
"58","R7462671","B11"
"59","R4087141","B11"
"60","R2582129","B11"
"61","R4482444","B11"
"62","R1830086","B11"
"63","R6849345","B11"
"64","R6176158","B11"
"65","R5158294","B12"
"66","R3198654","B12"
"67","R7516349","B12"
"68","R8799615","B12"
"69","R9137173","B12"
"70","R3078606","B12"
"71","R1521786","B12"
"72","R8330118","B12"
"73","R3426726","B13"
"74","R3987433","B13"
"75","R5574987","B13"
"76","R4817881","B13"
"77","R6411801","B13"
"78","R3857147","B13"
"79","R3128463","B13"
"80","R7210604","B13"
"81","R3722356","B14"
"82","R1672797","B14"
"83","R2709337","B14"
"84","R7596878","B14"
"85","R2424757","B14"
"86","R9817161","B14"
"87","R9907075","B14"
"88","R3607578","B14"
"89","R4345802","B15"
"90","R6057469","B15"
"91","R9809441","B15"
"92","R2703808","B15"
"93","R5131375","B15"
"94","R1020037","B15"
"95","R6337324","B15"
"96","R1073074","B15"
"97","R3185659","B16"
"98","R5499256","B16"
"99","R1748114","B16"
"100","R5992638","B16"
"101","R7903817","B16"
"102","R1944372","B16"
"103","R8410459","B16"
"104","R6415047","B16"
"105","R6253512","B17"
"106","R6003498","B17"
"107","R2140101","B17"
"108","R7758743","B17"
"109","R2859649","B17"
"110","R8329066","B17"
"111","R1103580","B17"
"112","R5459434","B17"
"113","R4249236","B18"
"114","R4906216","B18"
"115","R4415805","B18"
"116","R7384738","B18"
"117","R3322663","B18"
"118","R2575548","B18"
"119","R6847727","B18"
"120","R7054373","B18"
"121","R8492506","B19"
"122","R9245150","B19"
"123","R1777884","B19"
"124","R4900012","B19"
"125","R6728038","B19"
"126","R7912121","B19"
"127","R3035452","B19"
"128","R3825485","B19"
"129","R9127940","B20"
"130","R8316516","B20"
"131","R1583702","B20"
"132","R3485645","B20"
"133","R2793780","B20"
"134","R1980623","B20"
"135","R6284240","B20"
"136","R4292728","B20"
"137","R3589148","B21"
"138","R2124216","B21"
"139","R8572172","B21"
"140","R5789564","B21"
"141","R3978789","B21"
"142","R4859661","B21"
"143","R8741068","B21"
"144","R8725848","B21"
"145","R7904841","B22"
"146","R2488731","B22"
"147","R7066784","B22"
"148","R6392007","B22"
"149","R4332132","B22"
"150","R3910349","B22"
"151","R5883172","B22"
"152","R7944883","B22"
"153","R5369295","B23"
"154","R9936070","B23"
"155","R4379962","B23"
"156","R1344510","B23"
"157","R3757880","B23"
"158","R4077358","B23"
"159","R5053212","B23"
"160","R4042599","B23"
"161","R6934314","B24"
"162","R3744330","B24"
"163","R6478102","B24"
"164","R3631183","B24"
"165","R2565200","B24"
"166","R1617674","B24"
"167","R1028639","B24"
"168","R5026720","B24"
"169","R3328867","B25"
"170","R5234179","B25"
"171","R8704458","B25"
"172","R2895885","B25"
"173","R9255058","B25"
"174","R7095349","B25"
"175","R6665276","B25"
"176","R8457289","B25"
"177","R2494273","B26"
"178","R3008520","B26"
"179","R5079107","B26"
"180","R9596785","B26"
"181","R5766881","B26"
"182","R9053141","B26"
"183","R1287407","B26"
"184","R7039412","B26"
"185","R8971831","B27"
"186","R7738727","B27"
"187","R4619330","B27"
"188","R7143693","B27"
"189","R9904978","B27"
"190","R6268135","B27"
